id;label;help
exportDir;Export directory;Path where your sega model 3 set will be created (original set will be left untouched)
selectExportDir;Select;Select export folder
model3;Mame set folder;Path to your mame set
selectRomsetDir;Select;Select mame set folder
chd;CHD set folder;Path to your CHD set
selectCHDDir;Select;Select CHD set folder
dat;Mame dat;Path to your mame dat, leave empty if you do not have it
selectDat;Select;Select dat file
images;Images folder;Paths to your images set, leave empty if you do not have it
selectImages;Select;Select your images folder
imgNameFormat;Image filename format;Format of the image filename
dryRun;Dry run;Check this to generate only dat and CSV files, no roms will be copied
genreSubFolders;Use genre subfolders;Check to use genre subfolders for roms
useImages;Scrape images;Check to use images for games and folders
excludeCHDGames;Exclude CHD Games;Check to exclude CHD games from generation
verify;Verify;Check that your paths are okay
save;Save;Save your configuration to file
proceed;Proceed;Create your romset
confirm;Confirm;Your output dir is {outputDir}#nIts content will be erased.#nIf you don't want to proceed, close this window, or click Cancel
