Status;Genre;Name (mame description);Rom name;Year;Manufacturer;Hardware;Comments;Notes
3;BeatEmUp;64th. Street - A Detective Story (World);64street;1991;Jaleco;Mega System 1;;
3;BeatEmUp;Alien Storm (World, 2 Players) (FD1094 317-0154);astorm;1990;Sega;System 18;;
3;BeatEmUp;Alien vs. Predator (Euro 940520);avsp;1994;Capcom;CPS2;;
3;BeatEmUp;Altered Beast (set 8) (8751 317-0078);altbeast;1988;Sega;System 16B;;
1;BeatEmUp;Arabian Magic (Ver 1.0O 1992/07/06);arabianm;1992;Taito Corporation Japan;;lags a lot;
3;BeatEmUp;Armored Warriors (Euro 941024);armwar;1994;Capcom;CPS2;;
3;BeatEmUp;Asterix (ver EAD);asterix;1992;Konami;GX068;;
3;BeatEmUp;Avengers (US set 1);avengers;1987;Capcom;Miscellaneous;;
3;BeatEmUp;B.Rap Boys (World);brapboys;1992;Kaneko;Kaneko16;;
3;BeatEmUp;Bad Dudes vs. Dragonninja (US);baddudes;1988;Data East USA;DEC0;;
3;BeatEmUp;Batman;batman;1991;Atari Games;;;
3;BeatEmUp;Battle Circuit (Euro 970319);batcir;1997;Capcom;CPS2;;
3;BeatEmUp;Beraboh Man (Japan, Rev C);berabohm;1988;Namco;;;
3;BeatEmUp;Big Karnak;bigkarnk;1991;Gaelco;Miscellaneous;;
3;BeatEmUp;Black Panther;blkpnthr;1987;Konami;GX604;;
1;BeatEmUp;Black Touch '96 [Game is glitchy (very poor quality)! This is normal!];blackt96;1996;D.G.R.M.;;lags a lot;
1;BeatEmUp;Blade Master (World);bmaster;1991;Irem;M92;lags a lot;
3;BeatEmUp;Buccaneers (set 1);buccanrs;1989;Duintronic;Miscellaneous;;
3;BeatEmUp;Bucky O'Hare (ver EAB);bucky;1992;Konami;GX173;;
3;BeatEmUp;Burning Fight (NGM-018 ~ NGH-018);burningf;1991;SNK;Neo Geo MVS;;
3;BeatEmUp;Cadash (World);cadash;1989;Taito Corporation Japan;Taito Misc;;
3;BeatEmUp;Cadillacs and Dinosaurs (World 930201);dino;1993;Capcom;CPS1 / QSound;;
2;BeatEmUp;Captain America and The Avengers (Asia Rev 1.4);captaven;1991;Data East Corporation;;either bad sound or lags a little;
3;BeatEmUp;Captain Commando (World 911202);captcomm;1991;Capcom;CPS1;;
3;BeatEmUp;Captain Silver (World);csilver;1987;Data East Corporation;DEC8;imperfect sound;
3;BeatEmUp;Chanbara;chanbara;1985;Data East;Miscellaneous;;
3;BeatEmUp;China Gate (US);chinagat;1988;Technos Japan (Taito / Romstar license);Miscellaneous;;
3;BeatEmUp;Cosmo Police Galivan (12/26/1985);galivan;1985;Nichibutsu;Miscellaneous;;
3;BeatEmUp;Crime Fighters (World 2 players);crimfght;1989;Konami;GX821;;
3;BeatEmUp;Crossed Swords (ALM-002 ~ ALH-002);crsword;1991;Alpha Denshi Co.;Neo Geo MVS;;
3;BeatEmUp;Crossed Swords 2 (bootleg of CD version);crswd2bl;1996;bootleg (Razoola);Neo Geo MVS;some graphical bugs;
3;BeatEmUp;Crude Buster (World FX version);cbuster;1990;Data East Corporation;DECO IC16;;
3;BeatEmUp;D. D. Crew (World, 4 Players) (FD1094 317-0187);ddcrew1;1991;Sega;;;
3;BeatEmUp;Dark Seal (World revision 3);darkseal;1990;Data East Corporation;DECO IC16;;
3;BeatEmUp;Denjin Makai;denjinmk;1994;Winkysoft (Banpresto license);;;
3;BeatEmUp;DJ Boy (set 1);djboy;1989;Kaneko (American Sammy license);Miscellaneous;;
3;BeatEmUp;Double Dragon (Japan);ddragon;1987;Technos Japan;Miscellaneous;;
3;BeatEmUp;Double Dragon 3 - The Rosetta Stone (US);ddragon3;1990;Technos Japan;Miscellaneous;;
3;BeatEmUp;Double Dragon II - The Revenge (World);ddragon2;1988;Technos Japan;Miscellaneous;;
3;BeatEmUp;DownTown / Mokugeki (set 1);downtown;1989;Seta;;partial controls;
3;BeatEmUp;Dragon Bowl (set 1, encrypted program);drgnbowl;1992;Nics;Miscellaneous;;
3;BeatEmUp;Dragon Buster;drgnbstr;1984;Namco;Miscellaneous;missing sounds;
3;BeatEmUp;Dragon Unit / Castle of Dragon;drgnunit;1989;Seta;Seta;;
1;BeatEmUp;Dungeon Magic (Ver 2.1A 1994/02/18);dungeonmu;1993;Taito America Corporation;;lags a lot;
3;BeatEmUp;Dungeons & Dragons: Shadow over Mystara (Euro 960619);ddsom;1996;Capcom;CPS2;;
