Status;Genre;Name (mame description);Rom name;Year;Manufacturer;Hardware;Comments;Notes
3;BeatEmUp;64th. Street - A Detective Story (World);64street;1991;Jaleco;;;
0;BeatEmUp;Alien Storm;astorm;1990;Sega;;Stuck during loading;
3;BeatEmUp;Alien vs. Predator (Euro 940520);avsp;1994;Capcom;;;
3;BeatEmUp;Altered Beast (Version 1);altbeast;1988;Sega;;;
3;BeatEmUp;Arabian Fight;arabfgt;1992;Sega;;;
1;BeatEmUp;Arabian Magic (Ver 1.0O 1992/07/06);arabianm;1992;Taito Corporation Japan;;lags a lot;
3;BeatEmUp;Armored Warriors (Euro 941024);armwar;1994;Capcom;;;
3;BeatEmUp;Asterix (ver EAD);asterix;1992;Konami;;;
3;BeatEmUp;Avengers (US set 1);avengers;1987;Capcom;;;
3;BeatEmUp;B.Rap Boys (World);brapboys;1992;Kaneko;;;
3;BeatEmUp;Bad Dudes vs. Dragonninja (US);baddudes;1988;Data East USA;;;
3;BeatEmUp;Batman;batman;1991;Atari Games;;;
0;BeatEmUp;Batman Forever;batmanfr;1996;Acclaim;;no image;
3;BeatEmUp;Battle Circuit (Euro 970319);batcir;1997;Capcom;;;
3;BeatEmUp;Battle Toads;btoads;1994;Rare;;;
3;BeatEmUp;Battlecry;battlcry;1991;Home Data;;;
1;BeatEmUp;Beraboh Man (Japan version C);berabohm;1988;Namco;;No sprites;
3;BeatEmUp;Big Karnak;bigkarnk;1991;Gaelco;;;
3;BeatEmUp;Black Panther;blkpnthr;1987;Konami;;;
3;BeatEmUp;Blade Master (World);bmaster;1991;Irem;;;
3;BeatEmUp;Brute Force;brutforc;1991;Leland Corp.;;;
3;BeatEmUp;Bucky O'Hare (ver EAB);bucky;1992;Konami;;;
3;BeatEmUp;Burning Fight (set 1);burningf;1991;SNK;;;
3;BeatEmUp;Cadash (World);cadash;1989;Taito Corporation Japan;;;
3;BeatEmUp;Cadillacs and Dinosaurs (World 930201);dino;1993;Capcom;;;
3;BeatEmUp;Captain America and The Avengers (Asia Rev 1.4);captaven;1991;Data East Corporation;;;
3;BeatEmUp;Captain Commando (World 911202);captcomm;1991;Capcom;;;
3;BeatEmUp;Captain Silver (Japan);csilver;1987;Data East Corporation;;;
3;BeatEmUp;China Gate (US);chinagat;1988;[Technos] (Taito Romstar license);;;
3;BeatEmUp;Crime Fighters (US 4 players);crimfght;1989;Konami;;;
3;BeatEmUp;Crossed Swords (ALM-002)(ALH-002);crsword;1991;Alpha Denshi Co.;;;
3;BeatEmUp;Crossed Swords 2;crswd2bl;1996;bootleg;;;
