Status;Genre;Name (mame description);Rom name;Year;Manufacturer;Hardware;Comments;Notes
3;BeatEmUp;64th. Street - A Detective Story (World);64street;1991;Jaleco;;;
1;BeatEmUp;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);aoh;2001;Unico;;lags a lot;
3;BeatEmUp;Alien Storm (World, 2 Players, FD1094 317-0154);astorm;1990;Sega;;;
3;BeatEmUp;Alien vs. Predator (Euro 940520);avsp;1994;Capcom;;;
3;BeatEmUp;Altered Beast (set 8, 8751 317-0078);altbeast;1988;Sega;;;
1;BeatEmUp;Arabian Fight (World);arabfgt;1991;Sega;;lags a lot;
1;BeatEmUp;Arabian Magic (Ver 1.0O 1992/07/06);arabianm;1992;Taito Corporation Japan;;lags a lot;
3;BeatEmUp;Armored Warriors (Euro 941024);armwar;1994;Capcom;;;
3;BeatEmUp;Asterix (ver EAD);asterix;1992;Konami;;;
3;BeatEmUp;Avengers (US set 1);avengers;1987;Capcom;;NOT PLAYABLE BEFORE;
3;BeatEmUp;B.Rap Boys (World);brapboys;1992;Kaneko;;;
3;BeatEmUp;Bad Dudes vs. Dragonninja (US);baddudes;1988;Data East USA;;;
3;BeatEmUp;Batman;batman;1991;Atari Games;;;
0;BeatEmUp;Batman Forever (JUE 960507 V1.000);batmanfr;1996;Acclaim;;crashes on launch;
3;BeatEmUp;Battle Circuit (Euro 970319);batcir;1997;Capcom;;;
3;BeatEmUp;Battle Toads;btoads;1994;Rare;;;
3;BeatEmUp;Battlecry;battlcry;1991;Home Data;;;
1;BeatEmUp;Big Fight - Big Trouble In The Atlantic Ocean;bigfight;1992;Tatsumi;;lags a lot;
3;BeatEmUp;Big Karnak;bigkarnk;1991;Gaelco;;;
3;BeatEmUp;Black Panther;blkpnthr;1987;Konami;;;
1;BeatEmUp;Black Touch '96;blackt96;1996;D.G.R.M.;;no sound;
3;BeatEmUp;Blade Master (World);bmaster;1991;Irem;;;
1;BeatEmUp;Brute Force;brutforc;1991;Leland Corporation;;lags a lot;
3;BeatEmUp;Buccaneers (set 1);buccanrs;1989;Duintronic;;;
3;BeatEmUp;Bucky O'Hare (ver EA);bucky;1992;Konami;;;
3;BeatEmUp;Burning Fight (set 1);burningf;1991;SNK;;;
3;BeatEmUp;Cadash (World);cadash;1989;Taito Corporation Japan;;;
3;BeatEmUp;Cadillacs and Dinosaurs (World 930201);dino;1993;Capcom;;;
