Status;Genre;Name (mame description);Rom name;Year;Manufacturer;Hardware;Comments;Notes
3;BeatEmUp;64th. Street - A Detective Story (World);64street;1991;Jaleco;Mega System 1;;
3;BeatEmUp;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);aoh;2001;Unico;;;
3;BeatEmUp;Alien Storm (World, 2 Players) (FD1094 317-0154);astorm;1990;Sega;System 18;;
3;BeatEmUp;Alien vs. Predator (Euro 940520);avsp;1994;Capcom;CPS2;;
3;BeatEmUp;Altered Beast (set 8) (8751 317-0078);altbeast;1988;Sega;System 16B;;
3;BeatEmUp;Arabian Fight (World);arabfgt;1991;Sega;;;
3;BeatEmUp;Arabian Magic (Ver 1.0O 1992/07/06);arabianm;1992;Taito Corporation Japan;;;
3;BeatEmUp;Armored Warriors (Euro 941024);armwar;1994;Capcom;CPS2;;
3;BeatEmUp;Asterix (ver EAD);asterix;1992;Konami;GX068;;
3;BeatEmUp;Avengers (US set 1);avengers;1987;Capcom;Miscellaneous;;
3;BeatEmUp;B.Rap Boys (World);brapboys;1992;Kaneko;Kaneko16;;
3;BeatEmUp;Bad Dudes vs. Dragonninja (US);baddudes;1988;Data East USA;DEC0;;
3;BeatEmUp;Batman;batman;1991;Atari Games;;;
3;BeatEmUp;Battle Circuit (Euro 970319);batcir;1997;Capcom;CPS2;;
3;BeatEmUp;Battletoads;btoads;1994;Rare / Electronic Arts;;;
3;BeatEmUp;Beraboh Man (Japan, Rev C);berabohm;1988;Namco;;;
3;BeatEmUp;Big Karnak;bigkarnk;1991;Gaelco;Miscellaneous;;
3;BeatEmUp;Black Panther;blkpnthr;1987;Konami;GX604;;
3;BeatEmUp;Black Touch '96 [Game is glitchy (very poor quality)! This is normal!];blackt96;1996;D.G.R.M.;;;
3;BeatEmUp;Blade Master (World);bmaster;1991;Irem;M92;;
3;BeatEmUp;Buccaneers (set 1);buccanrs;1989;Duintronic;Miscellaneous;;
3;BeatEmUp;Bucky O'Hare (ver EAB);bucky;1992;Konami;GX173;;
3;BeatEmUp;Burning Fight (NGM-018 ~ NGH-018);burningf;1991;SNK;Neo Geo MVS;;
3;BeatEmUp;Cadash (World);cadash;1989;Taito Corporation Japan;Taito Misc;;
3;BeatEmUp;Cadillacs and Dinosaurs (World 930201);dino;1993;Capcom;CPS1 / QSound;;
3;BeatEmUp;Captain America and The Avengers (Asia Rev 1.4);captaven;1991;Data East Corporation;;;
3;BeatEmUp;Captain Commando (World 911202);captcomm;1991;Capcom;CPS1;;
3;BeatEmUp;Captain Silver (World);csilver;1987;Data East Corporation;DEC8;;
3;BeatEmUp;Chanbara;chanbara;1985;Data East;Miscellaneous;;
3;BeatEmUp;China Gate (US);chinagat;1988;Technos Japan (Taito / Romstar license);Miscellaneous;;
3;BeatEmUp;Chinese Hero;chinhero;1984;Taiyo;;;
3;BeatEmUp;Cosmo Police Galivan (12/26/1985);galivan;1985;Nichibutsu;Miscellaneous;;
3;BeatEmUp;Crime Fighters (World 2 players);crimfght;1989;Konami;GX821;;
3;BeatEmUp;Crossed Swords (ALM-002 ~ ALH-002);crsword;1991;Alpha Denshi Co.;Neo Geo MVS;;
3;BeatEmUp;Crossed Swords 2 (bootleg of CD version);crswd2bl;1996;bootleg (Razoola);Neo Geo MVS;some graphical bugs;
3;BeatEmUp;Crude Buster (World FX version);cbuster;1990;Data East Corporation;DECO IC16;;
3;BeatEmUp;D. D. Crew (World, 4 Players) (FD1094 317-0187);ddcrew1;1991;Sega;;;
3;BeatEmUp;Dark Seal (World revision 3);darkseal;1990;Data East Corporation;DECO IC16;;
3;BeatEmUp;Denjin Makai;denjinmk;1994;Winkysoft (Banpresto license);;;
3;BeatEmUp;DJ Boy (set 1);djboy;1989;Kaneko (American Sammy license);Miscellaneous;;
3;BeatEmUp;Double Dragon (Japan);ddragon;1987;Technos Japan;Miscellaneous;;
3;BeatEmUp;Double Dragon 3 - The Rosetta Stone (US);ddragon3;1990;Technos Japan;Miscellaneous;;
3;BeatEmUp;Double Dragon II - The Revenge (World);ddragon2;1988;Technos Japan;Miscellaneous;;
3;BeatEmUp;DownTown / Mokugeki (set 1);downtown;1989;Seta;;partial controls;
3;BeatEmUp;Dragon Bowl (set 1, encrypted program);drgnbowl;1992;Nics;Miscellaneous;;
3;BeatEmUp;Dragon Buster;drgnbstr;1984;Namco;Miscellaneous;missing sounds;
3;BeatEmUp;Dragon Unit / Castle of Dragon;drgnunit;1989;Seta;Seta;;
3;BeatEmUp;Dungeon Magic (Ver 2.1A 1994/02/18);dungeonmu;1993;Taito America Corporation;;;
3;BeatEmUp;Dungeons & Dragons: Shadow over Mystara (Euro 960619);ddsom;1996;Capcom;CPS2;;
3;BeatEmUp;Dungeons & Dragons: Tower of Doom (Euro 940412);ddtod;1993;Capcom;CPS2;;
3;BeatEmUp;Dynamite Dux (set 3, World) (FD1094 317-0096);ddux;1988;Sega;System 16B;;
3;BeatEmUp;Dynasty Wars (USA, B-Board 89624B-?);dynwar;1989;Capcom;CPS1;;
3;BeatEmUp;Eight Man (NGM-025 ~ NGH-025);eightman;1991;SNK / Pallas;Neo Geo MVS;;
3;BeatEmUp;Evil Stone;evilston;1990;Spacy Industrial, Ltd.;;;
3;BeatEmUp;Express Raider (World, Rev 4);exprraid;1986;Data East Corporation;;;
3;BeatEmUp;Final Fight (World, set 1);ffight;1989;Capcom;CPS1;;
3;BeatEmUp;Flashgal (set 1);flashgal;1985;Kyugo / Sega;Kyugo;;
3;BeatEmUp;Gaia Crusaders;gaia;1999;Noise Factory;Cave;;
3;BeatEmUp;Gaiapolis (ver EAF);gaiapols;1993;Konami;GX123;;
3;BeatEmUp;Gang Wars;gangwars;1989;Alpha Denshi Co.;;;
3;BeatEmUp;Ganryu / Musashi Ganryuki;ganryu;1999;Visco;Neo Geo MVS;;
3;BeatEmUp;Genpei ToumaDen;genpeitd;1986;Namco;System 86;;
3;BeatEmUp;Ginga NinkyouDen (set 1);ginganin;1987;Jaleco;Miscellaneous;;
3;BeatEmUp;Gladiator (US);gladiatr;1986;Allumer / Taito America Corporation;;;
3;BeatEmUp;Golden Axe (set 6, US) (8751 317-123A);goldnaxe;1989;Sega;System 16B;;
3;BeatEmUp;Golden Axe: The Revenge of Death Adder (World, Rev B);ga2;1992;Sega;;;
3;BeatEmUp;Growl (World, Rev 1);growl;1990;Taito Corporation Japan;Taito-F2;;
3;BeatEmUp;Guardian (US);grdian;1986;Toaplan / Taito America Corporation (Kitkorp license);Early Toaplan;;
3;BeatEmUp;Guardians / Denjin Makai II;grdians;1995;Winkysoft (Banpresto license);Newer Seta;;Imperfect graphics @ game start cutsce
3;BeatEmUp;Hachoo!;hachoo;1989;Jaleco;Mega System 1;;
3;BeatEmUp;Hammerin' Harry (World, M81);hharry;1990;Irem;M82;;
3;BeatEmUp;Hangzo (Japan, prototype);hangzo;1992;Hot-B;;;
3;BeatEmUp;Haunted Castle (version M);hcastle;1988;Konami;GX768;;
3;BeatEmUp;Hook (World);hook;1992;Irem;M92;;
3;BeatEmUp;Judge Dredd (rev TA1 7/12/92, location test);jdreddp;1995;Midway;;;
3;BeatEmUp;Kabuki-Z (World);kabukiz;1988;Taito Corporation Japan;;;
3;BeatEmUp;Karate Blazers (World, set 1);karatblz;1991;Video System Co.;Video System;;
3;BeatEmUp;Kicker;kicker;1985;Konami;GX477;;
3;BeatEmUp;Kid Niki - Radical Ninja (World);kidniki;1986;Irem;Irem M62;;
3;BeatEmUp;Knights of the Round (World 911127);knights;1991;Capcom;CPS1;;
3;BeatEmUp;Knights of Valour 2 Plus - Nine Dragons / Sangoku Senki 2 Plus - Nine Dragons (ver. M205XX, 200, 100CN);kov2p;2001;IGS;PolyGameMaster;;
3;BeatEmUp;Knights of Valour Plus / Sangoku Senki Plus (ver. 119, set 1);kovplus;1999;IGS;PolyGameMaster;;
3;BeatEmUp;Knights of Valour Super Heroes / Sangoku Senki Super Heroes (ver. 104, CN);kovsh;1999;IGS;PolyGameMaster;;
3;BeatEmUp;Knights of Valour Super Heroes Plus / Sangoku Senki Super Heroes Plus (ver. 101);kovshp;2004;IGS;PolyGameMaster;;Imperfect Protection Emulation
3;BeatEmup;Knuckle Bash;kbash;1993;Toaplan / Atari;Toaplan GP9001;;
3;BeatEmUp;Knuckle Joe (set 1);kncljoe;1985;Seibu Kaihatsu (Taito license);Miscellaneous;;
3;BeatEmUp;Kozure Ookami (Japan);kozure;1987;Nichibutsu;Miscellaneous;;
3;BeatEmUp;Kung-Fu Master (World);kungfum;1984;Irem;Irem M62;;
3;BeatEmUp;Kung-Fu Taikun;kungfut;1984;Seibu Kaihatsu Inc.;;;
3;BeatEmUp;Kuri Kinton (World);kurikint;1988;Taito Corporation Japan;;;
3;BeatEmUp;Kyros;kyros;1987;Alpha Denshi Co. (World Games Inc. license);Miscellaneous;;
3;BeatEmUp;Lady Master of Kung Fu;ladymstr;1985;Kaneko / Taito;Miscellaneous;;
3;BeatEmUp;Legend;legend;1986;Kyugo / Sega;Kyugo;;
3;BeatEmUp;Legend of Heroes;legendoh;2000;Limenko;;;
3;BeatEmUp;Legend of Makai (World);lomakai;1988;Jaleco;Mega System 1;;
3;BeatEmUp;Legend of Success Joe / Ashita no Joe Densetsu;legendos;1991;SNK;Neo Geo MVS;;
3;BeatEmUp;Legionnaire (World);legionna;1992;TAD Corporation;;;
3;BeatEmUp;Lightning Swords;ltswords;1991;Irem;M84?;;
3;BeatEmUp;Mad Motor (prototype) [Prototype];madmotor;1989;Mitchell;;;
3;BeatEmUp;Magic Sword: Heroic Fantasy (World 900725);msword;1990;Capcom;CPS1;;
3;BeatEmUp;Metal Clash (Japan);metlclsh;1985;Data East;;;
3;BeatEmUp;Metamorphic Force (ver EAA);metamrph;1993;Konami;GX224;;
3;BeatEmUp;Mighty Guy [Sound issues];mightguy;1986;Nichibutsu;;;
3;BeatEmUp;Monster Maulers (ver EAA);mmaulers;1993;Konami;GX170;;
3;BeatEmUp;Mr. Goemon (Japan);mrgoemon;1986;Konami;Miscellaneous;;
3;BeatEmUp;Mug Smashers;mugsmash;1990?;Electronic Devices Italy / 3D Games England;;;
3;BeatEmUp;Mutation Nation (NGM-014 ~ NGH-014);mutnat;1992;SNK;Neo Geo MVS;;
3;BeatEmUp;My Hero (US, not encrypted);myhero;1985;Coreland / Sega;System 1;;
3;BeatEmUp;Nastar (World);nastar;1988;Taito Corporation Japan;Taito B System;;"gamelist -> + ""/rastan saga 2"""
3;BeatEmUp;Nekketsu Kouha Kunio-kun (Japan);kuniokun;1986;Technos Japan;;;
3;BeatEmUp;Night Slashers (Korea Rev 1.3, DE-0397-0 PCB);nslasher;1994;Data East Corporation;;;
3;BeatEmUp;Ninja Baseball Bat Man (World);nbbatman;1993;Irem;M92;;
3;BeatEmUp;Ninja Combat (NGM-009);ncombat;1990;Alpha Denshi Co.;Neo Geo MVS;;
3;BeatEmUp;Ninja Gaiden (US);gaiden;1988;Tecmo;;;
3;BeatEmUp;Ninja Kazan (World);kazan;1988;Jaleco;Mega System 1;;
3;BeatEmUp;Ninja Spirit;nspirit;1988;Irem;M72;;
3;BeatEmUp;Oriental Legend / Xi You Shi E Zhuan (ver. 126);orlegend;1997;IGS;PolyGameMaster;;
3;BeatEmUp;Oriental Legend Special / Xi You Shi E Zhuan Super (ver. 101, Korean Board);olds;1998;IGS;PolyGameMaster;;Imperfect Protection Emulation
3;BeatEmUp;Oriental Legend Special Plus / Xi You Shi E Zhuan Super Plus;oldsplus;2004;IGS;PolyGameMaster;;Incomplete Dump
3;BeatEmUp;Osman (World);osman;1996;Mitchell;Simple 156;;
3;BeatEmUp;P.O.W. - Prisoners of War (US version 1);pow;1988;SNK;Miscellaneous;;
3;BeatEmUp;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Europe);sailormn;1995;Gazelle (Banpresto license);Cave;;
3;BeatEmUp;PuLiRuLa (World);pulirula;1991;Taito Corporation Japan;Taito-F2;;Some priority problems
3;BeatEmUp;Rastan (World Rev 1);rastan;1987;Taito Corporation Japan;Taito Misc;;
3;BeatEmUp;Renegade (US);renegade;1986;Technos Japan (Taito America license);Miscellaneous;;
3;BeatEmUp;Riding Fight (Ver 1.0O);ridingf;1992;Taito Corporation Japan;;;
3;BeatEmUp;Riot City (Japan);riotcity;1991;Sega / Westone;System 16B;;
3;BeatEmUp;Robo Army;roboarmy;1991;SNK;Neo Geo MVS;;
3;BeatEmUp;Rock'n Rage (World);rockrage;1986;Konami;GX620;;
3;BeatEmUp;Rygar (US set 1);rygar;1986;Tecmo;Miscellaneous;;
2;BeatEmUp;Samurai (World);samurai;1980;Sega;;no sound due to imperfect emulation;
3;BeatEmUp;Samurai Nihon-Ichi (set 1);tsamurai;1985;Kaneko / Taito;Miscellaneous;;
3;BeatEmUp;Sengoku / Sengoku Denshou (NGM-017 ~ NGH-017);sengoku;1991;SNK;Neo Geo MVS;;
3;BeatEmUp;Sengoku 2 / Sengoku Denshou 2;sengoku2;1993;SNK;Neo Geo MVS;;
3;BeatEmUp;Sengoku 3 / Sengoku Densho 2001;sengoku3;2001;Noise Factory / SNK;Neo Geo MVS;;
3;BeatEmUp;Shadow Force (World, Version 3);shadfrce;1993;Technos Japan;Miscellaneous;;
3;BeatEmUp;Shadow Warriors (World, set 1);shadoww;1988;Tecmo;Miscellaneous;;
