Status;Genre;Name (mame description);Rom name;Year;Manufacturer;Hardware;Comments;Notes
3;BeatEmUp;64th. Street - A Detective Story (World);64street;1991;Jaleco;;;
3;BeatEmUp;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);aoh;2001;Unico;;;
3;BeatEmUp;Alien Storm (World, 2 Players) (FD1094 317-0154);astorm;1990;Sega;;;
3;BeatEmUp;Alien vs. Predator (Euro 940520);avsp;1994;Capcom;;;
3;BeatEmUp;Altered Beast (set 8) (8751 317-0078);altbeast;1988;Sega;;;
3;BeatEmUp;Arabian Fight (World);arabfgt;1991;Sega;;;
3;BeatEmUp;Arabian Magic (Ver 1.0O 1992/07/06);arabianm;1992;Taito Corporation Japan;;very low sound;
3;BeatEmUp;Armored Warriors (Euro 941024);armwar;1994;Capcom;;;
3;BeatEmUp;Asterix (ver EAD);asterix;1992;Konami;;;
3;BeatEmUp;Avengers (US set 1);avengers;1987;Capcom;;;
3;BeatEmUp;B.Rap Boys (World);brapboys;1992;Kaneko;;;
3;BeatEmUp;Bad Dudes vs. Dragonninja (US revision 1);baddudes;1988;Data East USA;;;
3;BeatEmUp;Batman;batman;1991;Atari Games;;;
3;BeatEmUp;Batman Forever (JUE 960507 V1.000);batmanfr;1996;Acclaim;;;
3;BeatEmUp;Battle Circuit (Euro 970319);batcir;1997;Capcom;;;
3;BeatEmUp;Battlecry (Version E);battlcry;1991;Home Data;;;
3;BeatEmUp;Battletoads;btoads;1994;Rare / Electronic Arts;;;
3;BeatEmUp;Beraboh Man (Japan, Rev C);berabohm;1988;Namco;;;
3;BeatEmUp;Big Fight - Big Trouble In The Atlantic Ocean;bigfight;1992;Tatsumi;;;
3;BeatEmUp;Big Karnak;bigkarnk;1991;Gaelco;;;
3;BeatEmUp;Black Panther;blkpnthr;1987;Konami;;;
3;BeatEmUp;Black Touch '96;blackt96;1996;D.G.R.M.;;;
3;BeatEmUp;Blade Master (World);bmaster;1991;Irem;;;
3;BeatEmUp;Brute Force;brutforc;1991;Leland Corporation;;;
3;BeatEmUp;Buccaneers (set 1);buccanrs;1989;Duintronic;;;
3;BeatEmUp;Bucky O'Hare (ver EAB);bucky;1992;Konami;;;
3;BeatEmUp;Burning Fight (NGM-018 ~ NGH-018);burningf;1991;SNK;;;
3;BeatEmUp;Cadash (World);cadash;1989;Taito Corporation Japan;;;
3;BeatEmUp;Cadillacs and Dinosaurs (World 930201);dino;1993;Capcom;;;
3;BeatEmUp;Captain America and The Avengers (Asia Rev 1.4);captaven;1991;Data East Corporation;;;
3;BeatEmUp;Captain Commando (World 911202);captcomm;1991;Capcom;;;
3;BeatEmUp;Captain Silver (World);csilver;1987;Data East Corporation;;;
3;BeatEmUp;Chanbara;chanbara;1985;Data East;;;
3;BeatEmUp;China Gate (US);chinagat;1988;Technos Japan (Taito / Romstar license);;;
3;BeatEmUp;Chinese Hero;chinhero;1984;Taiyo;;;
3;BeatEmUp;Cosmo Police Galivan (12/26/1985);galivan;1985;Nichibutsu;;;
3;BeatEmUp;Crime Fighters (World 2 players);crimfght;1989;Konami;;;
3;BeatEmUp;Crossed Swords (ALM-002 ~ ALH-002);crsword;1991;Alpha Denshi Co.;;;
3;BeatEmUp;Crossed Swords 2 (bootleg of CD version);crswd2bl;1996;bootleg (Razoola);;;
3;BeatEmUp;Crude Buster (World FX version);cbuster;1990;Data East Corporation;;;
3;BeatEmUp;Cycle Warriors (rev C);cyclwarr;1991;Tatsumi;;;
3;BeatEmUp;D. D. Crew (World, 4 Players) (FD1094 317-0187);ddcrew1;1991;Sega;;;
3;BeatEmUp;Dark Seal (World revision 3);darkseal;1990;Data East Corporation;;;
3;BeatEmUp;Denjin Makai (set 1);denjinmk;1994;Winkysoft (Banpresto license);;;
3;BeatEmUp;Die Hard Arcade (UET 960515 V1.000);diehard;1996;Sega;;;
3;BeatEmUp;DJ Boy (World);djboy;1989;Kaneko;;;
3;BeatEmUp;Double Dragon (Japan);ddragon;1987;Technos Japan;;;
3;BeatEmUp;Double Dragon 3 - The Rosetta Stone (US);ddragon3;1990;East Technology / Technos Japan;;;
3;BeatEmUp;Double Dragon II - The Revenge (World);ddragon2;1988;Technos Japan;;;
2;BeatEmUp;DownTown / Mokugeki (set 1);downtown;1989;Seta;;partial controls;
3;BeatEmUp;Dragon Bowl (set 1, encrypted program);drgnbowl;1992;Nics;;;
3;BeatEmUp;Dragon Buster;drgnbstr;1984;Namco;;;
3;BeatEmUp;Dragon Unit / Castle of Dragon;drgnunit;1989;Seta;;;
3;BeatEmUp;Dungeon Magic (Ver 2.1A 1994/02/18);dungeonmu;1993;Taito America Corporation;;;
3;BeatEmUp;Dungeons & Dragons: Shadow over Mystara (Euro 960619);ddsom;1996;Capcom;;;
3;BeatEmUp;Dungeons & Dragons: Tower of Doom (Euro 940412);ddtod;1993;Capcom;;;
3;BeatEmUp;Dynamite Dux (set 3, World) (FD1094 317-0096);ddux;1988;Sega;;;
3;BeatEmUp;Dynasty Wars (USA, B-Board 89624B-?);dynwar;1989;Capcom;;;
3;BeatEmUp;Eight Man (NGM-025 ~ NGH-025);eightman;1991;SNK / Pallas;;;
3;BeatEmup;Evil Stone;evilston;1990;Spacy Industrial, Ltd.;;;
3;BeatEmUp;Express Raider (World, Rev 4);exprraid;1986;Data East Corporation;;;
3;BeatEmUp;Final Fight (World, set 1);ffight;1989;Capcom;;;
3;BeatEmUp;Final Fight 2 (SNES bootleg);ffight2b;1996;bootleg;;;
3;BeatEmUp;Flashgal (set 1);flashgal;1985;Kyugo / Sega;;;
3;BeatEmUp;Gaia Crusaders;gaia;1999;Noise Factory;;;
3;BeatEmUp;Gaiapolis (ver EAF);gaiapols;1993;Konami;;;
3;BeatEmUp;Gang Wars;gangwars;1989;Alpha Denshi Co.;;;
3;BeatEmUp;Ganryu / Musashi Ganryuki;ganryu;1999;Visco;;;
3;BeatEmUp;Genpei ToumaDen;genpeitd;1986;Namco;;;
3;BeatEmUp;Ginga NinkyouDen (set 1);ginganin;1987;Jaleco;;;
3;BeatEmUp;Gladiator (US);gladiatr;1986;Allumer / Taito America Corporation;;;
3;BeatEmUp;Golden Axe (set 6, US) (8751 317-123A);goldnaxe;1989;Sega;;;
3;BeatEmUp;Golden Axe: The Revenge of Death Adder (World, Rev B);ga2;1992;Sega;;;
3;BeatEmUp;Growl (World, Rev 1);growl;1990;Taito Corporation Japan;;;
3;BeatEmUp;Guardian (US);grdian;1986;Toaplan / Taito America Corporation (Kitkorp license);;;
3;BeatEmUp;Guardians / Denjin Makai II (P-FG01-1 PCB);grdians;1995;Winkysoft (Banpresto license);;;
3;BeatEmUp;Guardians of the 'Hood;guardian;1992;Atari Games;;;
3;BeatEmUp;Hammerin' Harry (World, M81 PCB version);hharry;1990;Irem;;;
3;BeatEmUp;Hangzo (Japan, prototype);hangzo;1992;Hot-B;;;
3;BeatEmUp;Haunted Castle (version M);hcastle;1988;Konami;;;
3;BeatEmUp;Hook (World);hook;1992;Irem;;;
3;BeatEmUp;Judge Dredd (rev TA1 7/12/92, location test);jdreddp;1993;Midway;;;
3;BeatEmUp;Kabuki-Z (World);kabukiz;1988;Kaneko / Taito Corporation Japan;;;
3;BeatEmUp;Karate Blazers (World, set 1);karatblz;1991;Video System Co.;;;
3;BeatEmUp;Kicker;kicker;1985;Konami;;;
3;BeatEmUp;Kid Niki - Radical Ninja (World);kidniki;1986;Irem;;;
3;BeatEmUp;Knights of the Round (World 911127);knights;1991;Capcom;;;
3;BeatEmUp;Knights of Valour 2 New Legend / Sanguo Zhan Ji 2 Guang Sao Yu Jun (V302, Oversea);kov2nl;2008;IGS;;;
3;BeatEmUp;Knights of Valour 2 Plus - Nine Dragons / Sanguo Zhan Ji 2 Qunxiong Zhengba / Sanguo Zhan Ji 2 Feilong Zai Tian / Sangoku Senki Busyou Souha (ver. M205XX, 200, 100CN);kov2p;2001;IGS;;;
3;BeatEmUp;Knights of Valour 3 / Sanguo Zhan Ji 3 (V104, China, Hong Kong, Taiwan);kov3;2011;IGS (Huatong license);;;
0;BeatEmUp;Knights of Valour 3 HD (M-105CN 13-07-04 18:54:01);kov3hd;2011;IGS;;unsupported;
3;BeatEmUp;Knights of Valour Plus / Sanguo Zhan Ji Zhengzong Plus / Sangoku Senki Masamune Plus (ver. 119, set 1);kovplus;1999;IGS;;;
3;BeatEmUp;Knights of Valour Super Heroes / Sanguo Zhan Ji Fengyun Zaiqi / Sangoku Senki Super Heroes (ver. 104, CN);kovsh;1999;IGS;;;
3;BeatEmUp;Knights of Valour Super Heroes Plus / Sanguo Zhan Ji Luanshi Xiaoxiong (ver. 101);kovshp;2004;IGS;;;
3;BeatEmUp;Knuckle Bash;kbash;1993;Toaplan / Atari;;;
3;BeatEmUp;Knuckle Joe (set 1);kncljoe;1985;Seibu Kaihatsu (Taito license);;;
3;BeatEmUp;Kozure Ookami (Japan);kozure;1987;Nichibutsu;;;
3;BeatEmUp;Kung-Fu Master (World);kungfum;1984;Irem;;;
3;BeatEmUp;Kung-Fu Taikun (set 1);kungfut;1984;Seibu Kaihatsu;;;
3;BeatEmUp;Kuri Kinton (World);kurikint;1988;Taito Corporation Japan;;;
3;BeatEmUp;Kyros;kyros;1987;Alpha Denshi Co. (World Games Inc. license);;;
3;BeatEmUp;Lady Master of Kung Fu (set 1, newer);ladymstr;1985;Kaneko / Taito;;;
3;BeatEmUp;Legend;legend;1986;Kyugo / Sega;;;
3;BeatEmUp;Legend of Heroes;legendoh;2000;Limenko;;very low sound;
3;BeatEmUp;Legend of Makai (World);lomakai;1988;Jaleco;;;
3;BeatEmUp;Legend of Success Joe / Ashita no Joe Densetsu;legendos;1991;SNK;;;
3;BeatEmUp;Legionnaire (World);legionna;1992;TAD Corporation;;;
3;BeatEmUp;Lightning Swords;ltswords;1991;Irem;;;
3;BeatEmUp;Mad Motor (prototype);madmotor;1989;Mitchell;;;
3;BeatEmUp;Magic Sword: Heroic Fantasy (World 900725);msword;1990;Capcom;;;
3;BeatEmUp;Metal Clash (Japan);metlclsh;1985;Data East;;;
3;BeatEmUp;Metamorphic Force (ver EAA);metamrph;1993;Konami;;;
3;BeatEmUp;Monster Maulers (ver EAA);mmaulers;1993;Konami;;;
3;BeatEmUp;Mr. Goemon (Japan);mrgoemon;1986;Konami;;;
3;BeatEmUp;Mug Smashers;mugsmash;1990?;Electronic Devices Italy / 3D Games England;;;
3;BeatEmUp;Mutation Nation (NGM-014 ~ NGH-014);mutnat;1992;SNK;;;
3;BeatEmUp;My Hero (US, not encrypted);myhero;1985;Coreland / Sega;;;
3;BeatEmUp;Nastar (World);nastar;1988;Taito Corporation Japan;;Rastan Saga 2;
2;BeatEmUp;Nekketsu Kouha Kunio-kun (Japan);kuniokun;1986;Technos Japan;;inverted punch controls;
3;BeatEmUp;Night Slashers (Korea Rev 1.3, DE-0397-0 PCB);nslasher;1994;Data East Corporation;;;
3;BeatEmUp;Ninja Baseball Bat Man (World);nbbatman;1993;Irem;;;
3;BeatEmUp;Ninja Clowns (27 oct 91);ninclown;1991;Strata/Incredible Technologies;;;
3;BeatEmUp;Ninja Combat (NGM-009);ncombat;1990;Alpha Denshi Co.;;;
3;BeatEmUp;Ninja Gaiden (US);gaiden;1988;Tecmo;;;
3;BeatEmUp;Ninja Kazan (World);kazan;1988;Jaleco;;;
3;BeatEmUp;Ninja Mission (Arcadia, set 1, V 2.5);ar_ninj;1987;Arcadia Systems;;;
3;BeatEmUp;Ninja Spirit (World);nspirit;1988;Irem;;;
3;BeatEmUp;Oriental Legend / Xiyou Shi E Chuan (ver. 126);orlegend;1997;IGS;;;
